#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	15	106	0.0048687	0.038376812	IL12A|GNAO1|CXCL8|TGFB2|PPP2R2C|GNA14|CCL2|C3|TLR4|FOS|IL6|SERPINE1|PLCB1|TLR6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:5522%09red/hsa:3569%09red/hsa:9630%09red/hsa:2775%09red/hsa:7099%09red/hsa:3592%09red/hsa:23236%09red/hsa:3576%09red/hsa:6347%09red/hsa:718%09red/hsa:7043%09red/hsa:7042%09red/hsa:10333%09red/hsa:2353%09red/hsa:5054%09red
Glycosphingolipid biosynthesis - ganglio series	KEGG PATHWAY	hsa00604	5	15	0.005112139	0.039144377	B3GALT4|ST8SIA5|ST8SIA1|ST6GALNAC5|ST3GAL5	http://www.genome.jp/kegg-bin/show_pathway?hsa00604/hsa:8705%09red/hsa:29906%09red/hsa:6489%09red/hsa:8869%09red/hsa:81849%09red
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	29	273	0.006486465	0.04828813	EGFR|ABCB1|MMP16|CDC25C|PDGFRB|PTGS2|CDC25A|DNMT3B|E2F2|TNXB|EZH2|CCNE2|BMF|TGFB2|CDCA5|PIM1|BRCA1|MET|HOXD10|TPM1|IGF2BP1|HMGA2|CCND1|ITGB3|STMN1|THBS1|E2F1|KIF23|EFNA3	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:595%09red/hsa:1789%09red/hsa:90427%09red/hsa:5743%09red/hsa:3236%09red/hsa:2146%09red/hsa:1870%09red/hsa:9134%09red/hsa:4325%09red/hsa:7057%09red/hsa:1956%09red/hsa:3690%09red/hsa:7168%09red/hsa:8091%09red/hsa:7148%09red/hsa:993%09red/hsa:9493%09red/hsa:995%09red/hsa:672%09red/hsa:5292%09red/hsa:10642%09red/hsa:3925%09red/hsa:113130%09red/hsa:5159%09red/hsa:5243%09red/hsa:4233%09red/hsa:1944%09red/hsa:7042%09red/hsa:1869%09red
Amoebiasis	KEGG PATHWAY	hsa05146	14	100	0.006941431	0.050278473	IL12A|TGFB2|CD14|CXCL8|ITGB2|SERPINB9|GNA14|SERPINB10|TLR4|IL1R2|IL6|COL4A4|PLCB1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:5272%09red/hsa:1286%09red/hsa:9630%09red/hsa:3569%09red/hsa:7099%09red/hsa:3689%09red/hsa:3592%09red/hsa:23236%09red/hsa:3576%09red/hsa:7043%09red/hsa:7042%09red/hsa:929%09red/hsa:7850%09red/hsa:5273%09red
African trypanosomiasis	KEGG PATHWAY	hsa05143	7	34	0.009190235	0.064815339	APOL1|IL12A|ICAM1|F2RL1|VCAM1|IL6|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa05143/hsa:3569%09red/hsa:3592%09red/hsa:8542%09red/hsa:3383%09red/hsa:23236%09red/hsa:2150%09red/hsa:7412%09red
Basal cell carcinoma	KEGG PATHWAY	hsa05217	9	55	0.012047715	0.082487857	WNT2B|FZD4|WNT7B|WNT2|WNT5A|WNT4|AXIN2|BMP4|TCF7	http://www.genome.jp/kegg-bin/show_pathway?hsa05217/hsa:7477%09red/hsa:652%09red/hsa:7472%09red/hsa:7474%09red/hsa:7482%09red/hsa:8322%09red/hsa:6932%09red/hsa:8313%09red/hsa:54361%09red
Apoptosis	KEGG PATHWAY	hsa04210	17	142	0.01231162	0.082487857	BIRC3|CASP12|CTSV|CTSK|SEPT4|LMNB2|TNFRSF10A|TUBA1C|NTRK1|TNFSF10|CTSS|CTSF|TUBA1B|FOS|BIRC5|LMNB1|BCL2A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:1513%09red/hsa:4914%09red/hsa:330%09red/hsa:1515%09red/hsa:5414%09red/hsa:4001%09red/hsa:597%09red/hsa:84790%09red/hsa:8797%09red/hsa:84823%09red/hsa:10376%09red/hsa:332%09red/hsa:8743%09red/hsa:2353%09red/hsa:8722%09red/hsa:100506742%09red/hsa:1520%09red
Gap junction	KEGG PATHWAY	hsa04540	12	88	0.014149859	0.09249176	DRD1|EGFR|PDGFD|CDK1|PDGFRB|TUBA1C|TUBB3|TUBA1B|PLCB1|GJA1|GUCY1A2|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04540/hsa:1812%09red/hsa:2697%09red/hsa:983%09red/hsa:80310%09red/hsa:84790%09red/hsa:23236%09red/hsa:5159%09red/hsa:2977%09red/hsa:1950%09red/hsa:10381%09red/hsa:1956%09red/hsa:10376%09red
Viral myocarditis	KEGG PATHWAY	hsa05416	9	57	0.01459593	0.093135937	ICAM1|CAV1|ITGB2|HLA-C|CCND1|ABL2|SGCA|MYH7|HLA-F	http://www.genome.jp/kegg-bin/show_pathway?hsa05416/hsa:3689%09red/hsa:27%09red/hsa:3383%09red/hsa:595%09red/hsa:4625%09red/hsa:857%09red/hsa:3107%09red/hsa:6442%09red/hsa:3134%09red
Homologous recombination	KEGG PATHWAY	hsa03440	6	29	0.015175906	0.094584716	RAD54L|RAD51|EME1|BRCA2|BLM|XRCC2	http://www.genome.jp/kegg-bin/show_pathway?hsa03440/hsa:641%09red/hsa:8438%09red/hsa:675%09red/hsa:146956%09red/hsa:5888%09red/hsa:7516%09red
MAPK signaling pathway	KEGG PATHWAY	hsa04010	26	257	0.016180033	0.098551112	EGFR|DUSP5|FGF5|FGF9|NTF3|EGF|CACNA1A|NTRK1|PTPN5|CACNB4|FLNC|DUSP2|FOS|FGF11|TGFB2|CD14|FGF12|FGF14|HSPA2|FGFR2|IL1R2|PDGFRB|FGF18|STMN1|HSPA6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:4914%09red/hsa:785%09red/hsa:4908%09red/hsa:929%09red/hsa:8817%09red/hsa:2259%09red/hsa:2254%09red/hsa:2257%09red/hsa:2256%09red/hsa:2250%09red/hsa:3310%09red/hsa:1950%09red/hsa:1956%09red/hsa:2353%09red/hsa:2318%09red/hsa:773%09red/hsa:5159%09red/hsa:3925%09red/hsa:84867%09red/hsa:7850%09red/hsa:3306%09red/hsa:1844%09red/hsa:1847%09red/hsa:7043%09red/hsa:7042%09red/hsa:2263%09red
TNF signaling pathway	KEGG PATHWAY	hsa04668	14	113	0.017090557	0.101070612	BIRC3|CCL2|ICAM1|PTGS2|EDN1|JAG1|IL18R1|VCAM1|CXCL5|CSF1|FOS|JUNB|IL6|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:3569%09red/hsa:330%09red/hsa:1435%09red/hsa:3383%09red/hsa:3726%09red/hsa:5743%09red/hsa:1906%09red/hsa:8809%09red/hsa:6374%09red/hsa:6347%09red/hsa:4314%09red/hsa:182%09red/hsa:2353%09red/hsa:7412%09red
Jak-STAT signaling pathway	KEGG PATHWAY	hsa04630	18	160	0.017347941	0.101070612	IL7R|IL12A|IL13RA2|IL2RB|PRLR|CNTF|AOX1|IL15RA|IL20RB|CCND1|PIM1|LEPR|IL21R|CSF3R|IL24|IL6|IL7|IL11	http://www.genome.jp/kegg-bin/show_pathway?hsa04630/hsa:3601%09red/hsa:3569%09red/hsa:316%09red/hsa:1270%09red/hsa:3953%09red/hsa:3592%09red/hsa:3560%09red/hsa:595%09red/hsa:3589%09red/hsa:3598%09red/hsa:53833%09red/hsa:3574%09red/hsa:11009%09red/hsa:3575%09red/hsa:50615%09red/hsa:1441%09red/hsa:5618%09red/hsa:5292%09red
Phagosome	KEGG PATHWAY	hsa04145	17	152	0.021307073	0.118926042	ITGA2|MPO|C1R|CD14|ITGB2|HLA-C|TUBB3|TUBA1C|THBS1|CTSS|C3|TLR4|TUBA1B|ITGB3|HLA-F|TLR6|CORO1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:3689%09red/hsa:11151%09red/hsa:1520%09red/hsa:3673%09red/hsa:7099%09red/hsa:84790%09red/hsa:718%09red/hsa:7057%09red/hsa:10381%09red/hsa:3690%09red/hsa:10333%09red/hsa:3107%09red/hsa:929%09red/hsa:715%09red/hsa:4353%09red/hsa:10376%09red/hsa:3134%09red
ECM-receptor interaction	KEGG PATHWAY	hsa04512	11	83	0.021743941	0.118926042	ITGA9|ITGA2|ITGA6|ITGA10|HMMR|ITGB3|THBS1|ITGA11|COL4A4|TNXB|SPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:1286%09red/hsa:3673%09red/hsa:3680%09red/hsa:22801%09red/hsa:7057%09red/hsa:3161%09red/hsa:3690%09red/hsa:6696%09red/hsa:8515%09red/hsa:7148%09red/hsa:3655%09red
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	11	83	0.021743941	0.118926042	EGFR|SHC3|MET|IGF1|PDGFRB|KDR|SHC2|FGFR2|IL6|PDGFD|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:3569%09red/hsa:25759%09red/hsa:3479%09red/hsa:4233%09red/hsa:53358%09red/hsa:3791%09red/hsa:1950%09red/hsa:80310%09red/hsa:1956%09red/hsa:2263%09red/hsa:5159%09red
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	27	278	0.022298976	0.11952251	DRD1|THRB|PRLR|RXFP1|P2RY1|HTR7|TSHR|F2RL2|ADRA2A|GRIN2A|ADRA1D|CHRNB1|LEPR|LPAR3|AGTR1|NTSR1|OXTR|LPAR6|GABRA5|F2RL1|GIPR|GRIA1|ADRB2|ADRA2C|PTGER4|PTGFR|PTGER3	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:5028%09red/hsa:10161%09red/hsa:3953%09red/hsa:5021%09red/hsa:154%09red/hsa:152%09red/hsa:150%09red/hsa:23566%09red/hsa:2903%09red/hsa:1812%09red/hsa:59350%09red/hsa:146%09red/hsa:2890%09red/hsa:185%09red/hsa:7253%09red/hsa:2696%09red/hsa:7068%09red/hsa:1140%09red/hsa:5618%09red/hsa:2558%09red/hsa:3363%09red/hsa:2150%09red/hsa:2151%09red/hsa:5733%09red/hsa:5737%09red/hsa:4923%09red/hsa:5734%09red
Staphylococcus aureus infection	KEGG PATHWAY	hsa05150	8	52	0.02341002	0.123017362	C1R|C2|ITGB2|CFD|C3|CFH|ICAM1|C1S	http://www.genome.jp/kegg-bin/show_pathway?hsa05150/hsa:3689%09red/hsa:3383%09red/hsa:718%09red/hsa:716%09red/hsa:3075%09red/hsa:715%09red/hsa:717%09red/hsa:1675%09red
Calcium signaling pathway	KEGG PATHWAY	hsa04020	19	179	0.024266188	0.124457896	PDE1A|DRD1|ATP2B4|AGTR1|OXTR|GRIN2A|PTGER3|NTSR1|ADRA1D|PDGFRB|ADRB2|GNA14|CACNA1A|HTR7|EGFR|PLCB1|PTGFR|CAMK4|PHKG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:1812%09red/hsa:773%09red/hsa:2903%09red/hsa:5260%09red/hsa:9630%09red/hsa:5136%09red/hsa:146%09red/hsa:154%09red/hsa:23236%09red/hsa:5159%09red/hsa:185%09red/hsa:493%09red/hsa:5021%09red/hsa:3363%09red/hsa:5733%09red/hsa:5737%09red/hsa:814%09red/hsa:4923%09red/hsa:1956%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	9	63	0.024612942	0.124457896	IL12A|TGFB2|MAF|IL18R1|TLR5|IL21R|TLR4|IL6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:3569%09red/hsa:7100%09red/hsa:3592%09red/hsa:7099%09red/hsa:8809%09red/hsa:7043%09red/hsa:4094%09red/hsa:50615%09red/hsa:7042%09red
Signaling pathways regulating pluripotency of stem cells	KEGG PATHWAY	hsa04550	16	144	0.026195833	0.127608437	WNT2B|FZD4|WNT7B|WNT2|JARID2|WNT5A|INHBB|IGF1|ACVR2A|WNT4|AXIN2|ID1|BMP4|FGFR2|ACVR1C|TBX3	http://www.genome.jp/kegg-bin/show_pathway?hsa04550/hsa:3397%09red/hsa:7477%09red/hsa:652%09red/hsa:7472%09red/hsa:3625%09red/hsa:3479%09red/hsa:7474%09red/hsa:3720%09red/hsa:6926%09red/hsa:92%09red/hsa:7482%09red/hsa:130399%09red/hsa:8322%09red/hsa:8313%09red/hsa:54361%09red/hsa:2263%09red
Progesterone-mediated oocyte maturation	KEGG PATHWAY	hsa04914	12	97	0.026210991	0.127608437	PKMYT1|PLK1|CDK1|CDC25A|IGF1|CCNB2|BUB1|CDC25C|CCNA2|SPDYE6|MAD2L1|CCNB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04914/hsa:993%09red/hsa:983%09red/hsa:995%09red/hsa:9088%09red/hsa:890%09red/hsa:891%09red/hsa:5347%09red/hsa:3479%09red/hsa:699%09red/hsa:729597%09red/hsa:9133%09red/hsa:4085%09red
Arachidonic acid metabolism	KEGG PATHWAY	hsa00590	9	64	0.02666445	0.127608437	PTGDS|PTGS2|GPX3|TBXAS1|AKR1C3|PTGS1|GGT5|PLA2G16|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:8644%09red/hsa:2687%09red/hsa:5742%09red/hsa:2878%09red/hsa:5743%09red/hsa:6916%09red/hsa:5320%09red/hsa:5730%09red/hsa:11145%09red
ABC transporters	KEGG PATHWAY	hsa02010	7	44	0.028579424	0.134373432	ABCC3|ABCA8|ABCB1|ABCA6|ABCA10|ABCA9|ABCG2	http://www.genome.jp/kegg-bin/show_pathway?hsa02010/hsa:10350%09red/hsa:10351%09red/hsa:23460%09red/hsa:10349%09red/hsa:5243%09red/hsa:9429%09red/hsa:8714%09red
Hepatitis B	KEGG PATHWAY	hsa05161	16	148	0.031978712	0.147763706	CASP12|IRF7|CXCL8|E2F1|CCNE2|EGR2|CCND1|TGFB2|CCNA2|E2F2|NFATC2|BIRC5|TLR4|FOS|IL6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:3569%09red/hsa:3665%09red/hsa:890%09red/hsa:7099%09red/hsa:595%09red/hsa:3576%09red/hsa:4773%09red/hsa:1870%09red/hsa:9134%09red/hsa:7043%09red/hsa:7042%09red/hsa:332%09red/hsa:1959%09red/hsa:2353%09red/hsa:1869%09red/hsa:100506742%09red
Glioma	KEGG PATHWAY	hsa05214	9	67	0.033536613	0.152335801	EGFR|SHC3|IGF1|CCND1|PDGFRB|E2F2|E2F1|SHC2|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:3479%09red/hsa:595%09red/hsa:25759%09red/hsa:5159%09red/hsa:53358%09red/hsa:1870%09red/hsa:1950%09red/hsa:1956%09red/hsa:1869%09red
Protein digestion and absorption	KEGG PATHWAY	hsa04974	11	90	0.034689588	0.154946824	COL11A1|COL15A1|COL10A1|SLC7A7|COL5A3|COL12A1|CPB1|KCNE3|COL17A1|COL14A1|COL4A4	http://www.genome.jp/kegg-bin/show_pathway?hsa04974/hsa:9056%09red/hsa:1286%09red/hsa:7373%09red/hsa:50509%09red/hsa:1360%09red/hsa:10008%09red/hsa:1306%09red/hsa:1303%09red/hsa:1300%09red/hsa:1301%09red/hsa:1308%09red
Pancreatic cancer	KEGG PATHWAY	hsa05212	9	68	0.036075873	0.158497277	EGFR|TGFB2|RAD51|CCND1|E2F2|E2F1|BRCA2|EGF|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:595%09red/hsa:675%09red/hsa:1870%09red/hsa:1950%09red/hsa:7043%09red/hsa:7042%09red/hsa:5888%09red/hsa:1869%09red/hsa:1956%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	14	135	0.05553269	0.240044529	IL7R|EGFR|PLK1|IGF1|CCNB2|TGFB2|CCND1|TNFSF10|PLK4|EGF|FOXO1|IL6|CCNB1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:3569%09red/hsa:891%09red/hsa:5347%09red/hsa:595%09red/hsa:3479%09red/hsa:3575%09red/hsa:10733%09red/hsa:7043%09red/hsa:7042%09red/hsa:9133%09red/hsa:1956%09red/hsa:8743%09red/hsa:1950%09red/hsa:2308%09red
Mucin type O-Glycan biosynthesis	KEGG PATHWAY	hsa00512	5	31	0.057545135	0.244795177	GALNT6|GCNT1|GALNT4|GALNT16|GALNT18	http://www.genome.jp/kegg-bin/show_pathway?hsa00512/hsa:2650%09red/hsa:374378%09red/hsa:57452%09red/hsa:8693%09red/hsa:11226%09red
Renin secretion	KEGG PATHWAY	hsa04924	8	64	0.059650635	0.249787032	PDE1A|AGTR1|KCNMA1|ADRB2|PTGER4|AQP1|GUCY1A2|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04924/hsa:5136%09red/hsa:154%09red/hsa:23236%09red/hsa:2977%09red/hsa:3778%09red/hsa:358%09red/hsa:185%09red/hsa:5734%09red
Melanogenesis	KEGG PATHWAY	hsa04916	11	100	0.061393287	0.250386053	KIT|FZD4|WNT7B|WNT2|GNAO1|WNT2B|WNT5A|WNT4|TCF7|EDN1|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04916/hsa:7477%09red/hsa:7474%09red/hsa:7472%09red/hsa:2775%09red/hsa:3815%09red/hsa:1906%09red/hsa:23236%09red/hsa:7482%09red/hsa:8322%09red/hsa:6932%09red/hsa:54361%09red
Small cell lung cancer	KEGG PATHWAY	hsa05222	10	88	0.061662237	0.250386053	BIRC3|ITGA2|CKS2|CCNE2|CCND1|E2F2|E2F1|PTGS2|COL4A4|ITGA6	http://www.genome.jp/kegg-bin/show_pathway?hsa05222/hsa:1286%09red/hsa:3673%09red/hsa:5743%09red/hsa:595%09red/hsa:1870%09red/hsa:9134%09red/hsa:1869%09red/hsa:330%09red/hsa:1164%09red/hsa:3655%09red
Measles	KEGG PATHWAY	hsa05162	14	138	0.063459262	0.253837049	IL12A|IL2RB|IRF7|CCNE2|TP73|CCND1|HSPA2|TNFSF10|TNFRSF10A|TLR4|OAS1|IL6|HSPA6|SH2D1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:3569%09red/hsa:3665%09red/hsa:9134%09red/hsa:3592%09red/hsa:3560%09red/hsa:7099%09red/hsa:595%09red/hsa:8797%09red/hsa:3310%09red/hsa:7161%09red/hsa:4938%09red/hsa:4068%09red/hsa:8743%09red/hsa:3306%09red
Base excision repair	KEGG PATHWAY	hsa03410	5	33	0.069704318	0.27470087	NEIL3|FEN1|LIG1|NEIL1|POLE2	http://www.genome.jp/kegg-bin/show_pathway?hsa03410/hsa:5427%09red/hsa:2237%09red/hsa:79661%09red/hsa:55247%09red/hsa:3978%09red
Mismatch repair	KEGG PATHWAY	hsa03430	4	23	0.070725224	0.27470087	RFC4|RFC3|LIG1|EXO1	http://www.genome.jp/kegg-bin/show_pathway?hsa03430/hsa:5983%09red/hsa:5984%09red/hsa:9156%09red/hsa:3978%09red
Pathogenic Escherichia coli infection	KEGG PATHWAY	hsa05130	7	56	0.075223443	0.287998323	CD14|HCLS1|TUBB3|TUBA1B|TLR5|TLR4|TUBA1C	http://www.genome.jp/kegg-bin/show_pathway?hsa05130/hsa:7100%09red/hsa:7099%09red/hsa:84790%09red/hsa:3059%09red/hsa:10381%09red/hsa:929%09red/hsa:10376%09red
Tyrosine metabolism	KEGG PATHWAY	hsa00350	5	35	0.083165252	0.313919544	AOX1|ADH1B|ADH1C|MAOB|AOC3	http://www.genome.jp/kegg-bin/show_pathway?hsa00350/hsa:4129%09red/hsa:316%09red/hsa:126%09red/hsa:8639%09red/hsa:125%09red
Leishmaniasis	KEGG PATHWAY	hsa05140	8	70	0.086532535	0.322093324	IL12A|PTGS2|ITGB2|TGFB2|C3|TLR4|FOS|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05140/hsa:3689%09red/hsa:3592%09red/hsa:7099%09red/hsa:718%09red/hsa:7043%09red/hsa:7042%09red/hsa:5743%09red/hsa:2353%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	11	108	0.090509367	0.331747211	IL12A|IRF7|CD14|CXCL8|CTSK|TLR5|TLR6|TLR4|FOS|IL6|SPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:1513%09red/hsa:3569%09red/hsa:3665%09red/hsa:2353%09red/hsa:3592%09red/hsa:7099%09red/hsa:10333%09red/hsa:7100%09red/hsa:3576%09red/hsa:6696%09red/hsa:929%09red
Bile secretion	KEGG PATHWAY	hsa04976	8	71	0.091601842	0.331747211	NCEH1|ABCC3|ABCB1|EPHX1|ABCG2|AQP9|AQP1|SLC4A4	http://www.genome.jp/kegg-bin/show_pathway?hsa04976/hsa:5243%09red/hsa:9429%09red/hsa:2052%09red/hsa:366%09red/hsa:8714%09red/hsa:8671%09red/hsa:358%09red/hsa:57552%09red
Long-term depression	KEGG PATHWAY	hsa04730	7	61	0.103122465	0.368490941	CACNA1A|GNAO1|IGF1|GRIA1|GNAZ|PLCB1|GUCY1A2	http://www.genome.jp/kegg-bin/show_pathway?hsa04730/hsa:773%09red/hsa:2775%09red/hsa:2781%09red/hsa:3479%09red/hsa:23236%09red/hsa:2977%09red/hsa:2890%09red
Endocrine resistance	KEGG PATHWAY	hsa01522	10	99	0.107033142	0.37743266	EGFR|SHC3|IGF1|CCND1|HBEGF|E2F1|SHC2|FOS|E2F2|JAG1	http://www.genome.jp/kegg-bin/show_pathway?hsa01522/hsa:25759%09red/hsa:1839%09red/hsa:595%09red/hsa:3479%09red/hsa:53358%09red/hsa:1870%09red/hsa:1956%09red/hsa:1869%09red/hsa:2353%09red/hsa:182%09red
Primary bile acid biosynthesis	KEGG PATHWAY	hsa00120	3	17	0.109340021	0.380560073	CH25H|CYP7B1|CYP39A1	http://www.genome.jp/kegg-bin/show_pathway?hsa00120/hsa:51302%09red/hsa:9420%09red/hsa:9023%09red
Glutathione metabolism	KEGG PATHWAY	hsa00480	6	51	0.116194244	0.399231507	SMS|ODC1|GPX3|GGT5|RRM2|RRM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:2687%09red/hsa:2878%09red/hsa:4953%09red/hsa:6240%09red/hsa:6241%09red/hsa:6611%09red
Colorectal cancer	KEGG PATHWAY	hsa05210	7	64	0.122207233	0.409532969	TGFB2|CCND1|AXIN2|BIRC5|TCF7|FOS|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:595%09red/hsa:7043%09red/hsa:7042%09red/hsa:332%09red/hsa:6932%09red/hsa:2353%09red/hsa:8313%09red
Nicotine addiction	KEGG PATHWAY	hsa05033	5	40	0.122248648	0.409532969	CACNA1A|SLC17A7|GRIA1|GABRA5|GRIN2A	http://www.genome.jp/kegg-bin/show_pathway?hsa05033/hsa:773%09red/hsa:2558%09red/hsa:2903%09red/hsa:57030%09red/hsa:2890%09red
Nicotinate and nicotinamide metabolism	KEGG PATHWAY	hsa00760	4	29	0.125803861	0.416239934	NAPRT|AOX1|NNMT|ENPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00760/hsa:93100%09red/hsa:316%09red/hsa:4837%09red/hsa:5167%09red
Retinol metabolism	KEGG PATHWAY	hsa00830	7	65	0.128944098	0.421427052	RDH10|CYP26B1|DHRS3|ADH1B|ADH1C|ALDH1A1|AOX1	http://www.genome.jp/kegg-bin/show_pathway?hsa00830/hsa:9249%09red/hsa:316%09red/hsa:56603%09red/hsa:157506%09red/hsa:126%09red/hsa:216%09red/hsa:125%09red
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	10	105	0.138133921	0.445501516	EGFR|IGF1|EGLN3|PDK1|TEK|TLR4|EDN1|IL6|SERPINE1|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:3569%09red/hsa:7099%09red/hsa:1906%09red/hsa:3479%09red/hsa:112399%09red/hsa:1950%09red/hsa:1956%09red/hsa:7010%09red/hsa:5163%09red/hsa:5054%09red
cGMP-PKG signaling pathway	KEGG PATHWAY	hsa04022	15	173	0.141041334	0.445501516	AGTR1|KCNMB2|ADRA2A|GUCY1A2|ATP2B4|KCNMA1|NFATC2|TRPC6|ADRA2C|ADRA1D|MYH7|KCNMB4|PLCB1|PPP1R12A|ADRB2	http://www.genome.jp/kegg-bin/show_pathway?hsa04022/hsa:154%09red/hsa:4659%09red/hsa:146%09red/hsa:2977%09red/hsa:23236%09red/hsa:4773%09red/hsa:493%09red/hsa:27345%09red/hsa:4625%09red/hsa:3778%09red/hsa:7225%09red/hsa:10242%09red/hsa:150%09red/hsa:152%09red/hsa:185%09red
Phospholipase D signaling pathway	KEGG PATHWAY	hsa04072	13	146	0.14249683	0.445501516	KIT|SHC3|LPAR3|AGTR1|CXCL8|PDGFD|PDGFRB|LPAR6|SHC2|EGFR|PLCB1|PTGFR|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:80310%09red/hsa:10161%09red/hsa:3576%09red/hsa:3815%09red/hsa:25759%09red/hsa:23236%09red/hsa:5159%09red/hsa:53358%09red/hsa:1950%09red/hsa:1956%09red/hsa:5737%09red/hsa:23566%09red/hsa:185%09red
Amphetamine addiction	KEGG PATHWAY	hsa05031	7	67	0.142959442	0.445501516	DRD1|ARC|GRIN2A|GRIA1|MAOB|FOS|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa05031/hsa:1812%09red/hsa:814%09red/hsa:23237%09red/hsa:2890%09red/hsa:2353%09red/hsa:4129%09red/hsa:2903%09red
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	9	93	0.144645924	0.445575949	BIRC3|ICAM1|CD14|CXCL8|PTGS2|VCAM1|BCL2A1|TLR4|TNFSF13B	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:330%09red/hsa:3383%09red/hsa:597%09red/hsa:7099%09red/hsa:3576%09red/hsa:10673%09red/hsa:5743%09red/hsa:929%09red/hsa:7412%09red
Pyrimidine metabolism	KEGG PATHWAY	hsa00240	10	107	0.149453045	0.448028178	PRIM1|CTPS1|TK1|TYMP|POLE2|NME3|TYMS|RRM2|DPYS|RRM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:7083%09red/hsa:1807%09red/hsa:1503%09red/hsa:7298%09red/hsa:5427%09red/hsa:4832%09red/hsa:5557%09red/hsa:6240%09red/hsa:6241%09red/hsa:1890%09red
Drug metabolism - cytochrome P450	KEGG PATHWAY	hsa00982	7	68	0.150229735	0.448028178	FMO3|AOX1|ADH1B|ADH1C|FMO2|MAOB|FMO1	http://www.genome.jp/kegg-bin/show_pathway?hsa00982/hsa:316%09red/hsa:2328%09red/hsa:126%09red/hsa:2327%09red/hsa:2326%09red/hsa:4129%09red/hsa:125%09red
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	16	189	0.150457224	0.448028178	CCL14|CCL2|CCL8|SHC3|CCL11|TIAM1|CXCL8|CCL7|CCL18|DOCK2|CCR1|CXCL5|SHC2|CXCL6|PLCB1|CXCL16	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:6347%09red/hsa:1230%09red/hsa:3576%09red/hsa:6372%09red/hsa:1794%09red/hsa:25759%09red/hsa:58191%09red/hsa:6374%09red/hsa:6362%09red/hsa:6354%09red/hsa:6355%09red/hsa:6356%09red/hsa:7074%09red/hsa:23236%09red/hsa:53358%09red/hsa:6358%09red
